Charlton_Heston	gender	male
Charlton_Heston	nationality	American
Charlton_Heston	place_of_death	Beverly_Hills,_California
Charlton_Heston	place_of_birth	Evanston,_Illinois
Charlton_Heston	institution	Northwestern_University
Charlton_Heston	cause_of_death	Pneumonia
Charlton_Heston	religion	Episcopal_Church_(United_States)
Charlton_Heston	children	Fraser_Clarke_Heston
Charlton_Heston	spouse	Lydia_Clarke
Charlton_Heston	place_of_birth	Wilmette,_Illinois
Elizabeth_Taylor	gender	female
Elizabeth_Taylor	nationality	American
Elizabeth_Taylor	place_of_death	California
Elizabeth_Taylor	place_of_birth	Hampstead_Garden_Suburb
Elizabeth_Taylor	cause_of_death	Congestive_heart_failure
Elizabeth_Taylor	religion	Christian_Science
Elizabeth_Taylor	parents	Sara_Sothern
Elizabeth_Taylor	spouse	Richard_Burton
Elizabeth_Taylor	parents	Francis_Lenn_Taylor
Elizabeth_Taylor	place_of_death	Los_Angeles
Elizabeth_Taylor	spouse	Michael_Wilding_(actor)
Elizabeth_Taylor	spouse	Eddie_Fisher_(singer)
Elizabeth_Taylor	spouse	John_Warner
Elizabeth_Taylor	spouse	Larry_Fortensky
Elizabeth_Taylor	spouse	Mike_Todd
Elizabeth_Taylor	spouse	Conrad_Hilton,_Jr.
Elizabeth_Taylor	place_of_birth	London
Elizabeth_Taylor	place_of_birth	England
Elizabeth_Taylor	religion	Judaism
Blake_Edwards	gender	male
Blake_Edwards	nationality	American
Blake_Edwards	place_of_death	Santa_Monica,_California
Blake_Edwards	place_of_birth	Tulsa,_Oklahoma
Blake_Edwards	cause_of_death	Pneumonia
Blake_Edwards	spouse	Julie_Andrews
David_Niven	gender	male
David_Niven	nationality	British
David_Niven	place_of_death	Switzerland
David_Niven	place_of_birth	London
David_Niven	institution	Royal_Military_College,_Sandhurst
David_Niven	cause_of_death	Amyotrophic_lateral_sclerosis
David_Niven	place_of_birth	United_Kingdom_of_Great_Britain_and_Ireland
David_Niven	place_of_birth	England
Gerard_Kuiper	gender	male
Gerard_Kuiper	place_of_death	Mexico_City
Gerard_Kuiper	place_of_birth	Tuitjenhorn
Gerard_Kuiper	institution	Master_of_Physics
Gerard_Kuiper	cause_of_death	Myocardial_infarction
Gerard_Kuiper	institution	Doctor_of_Philosophy
Gerard_Kuiper	institution	Doctor_of_Science
Gerard_Kuiper	institution	Bachelor_of_Science
Gerard_Kuiper	institution	Leiden_University
Gerard_Kuiper	institution	Master_of_Science
Gerard_Kuiper	place_of_birth	Harenkarspel
Anthony_Fokker	gender	male
Anthony_Fokker	nationality	Dutch, US
Anthony_Fokker	place_of_death	United_States
Anthony_Fokker	place_of_birth	East_Java
Anthony_Fokker	cause_of_death	Pneumococcal_meningitis
Anthony_Fokker	place_of_death	New_York_City
Anthony_Fokker	place_of_death	Murray_Hill_Hospital
Anthony_Fokker	place_of_birth	Netherlands_Indies
Anthony_Fokker	place_of_birth	Kediri,_East_Java
Arnold_Bennett	gender	male
Arnold_Bennett	nationality	British
Arnold_Bennett	place_of_death	London
Arnold_Bennett	place_of_birth	Hanley,_Staffordshire
Arnold_Bennett	cause_of_death	Typhoid
Arnold_Bennett	place_of_death	City_of_Westminster
Audrey_Hepburn	gender	female
Audrey_Hepburn	nationality	British
Audrey_Hepburn	place_of_death	Tolochenaz
Audrey_Hepburn	place_of_birth	Ixelles
Audrey_Hepburn	cause_of_death	Appendiceal_cancer
Audrey_Hepburn	place_of_death	Vaud
Carl_Sandburg	gender	male
Carl_Sandburg	nationality	American
Carl_Sandburg	place_of_death	Flat_Rock,_Henderson_County,_North_Carolina
Carl_Sandburg	place_of_birth	Galesburg,_Illinois
Carl_Sandburg	institution	Lombard_College
